sec,adc
0,82.39999999999999
1,80.4
2,84.0
3,81.2
4,81.2
5,82.0
6,82.0
7,80.80000000000001
8,81.6
9,82.39999999999999
10,82.0
11,81.2
12,79.2
13,91.60000000000001
14,79.2
15,82.39999999999999
16,81.2
17,82.0
18,80.4
19,81.2
20,82.8
21,81.6
22,82.39999999999999
23,81.2
24,82.8
25,81.6
26,80.4
27,80.4
28,81.6
29,83.2
30,81.6
31,82.0
32,81.6
33,83.2
34,82.0
35,82.0
36,81.2
37,82.39999999999999
38,82.39999999999999
39,81.2
40,82.39999999999999
41,80.80000000000001
42,81.6
43,82.8
44,80.80000000000001
45,82.0
46,80.0
47,84.39999999999999
48,82.8
49,81.6
50,82.39999999999999
51,80.80000000000001
52,81.6
53,80.80000000000001
54,79.60000000000001
55,84.0
56,80.80000000000001
57,82.0
58,80.4
59,80.0
60,82.8
61,81.2
62,85.6
63,81.2
64,83.6
65,80.80000000000001
66,80.80000000000001
67,80.4
68,82.8
69,81.2
70,83.6
71,81.2
72,83.6
73,81.2
74,83.6
75,80.4
76,82.39999999999999
77,81.6
78,82.39999999999999
79,81.2
80,82.39999999999999
81,81.2
82,82.39999999999999
83,81.6
84,80.4
85,80.4
86,80.80000000000001
87,82.39999999999999
88,82.8
89,79.60000000000001
90,87.6
91,79.60000000000001
92,82.39999999999999
93,80.80000000000001
94,83.2
95,82.39999999999999
96,82.0
97,80.80000000000001
98,81.6
99,84.0
100,81.2
101,81.6
102,79.60000000000001
103,82.39999999999999
104,81.6
105,82.8
106,81.6
107,80.4
108,82.8
109,80.80000000000001
110,80.4
111,81.2
112,81.6
113,80.0
114,81.2
115,81.2
116,81.6
117,80.0
118,82.39999999999999
119,81.2
120,77.2
121,82.39999999999999
122,82.0
123,80.4
124,82.39999999999999
125,81.6
126,81.2
127,81.6
128,82.39999999999999
129,79.60000000000001
130,83.6
131,82.39999999999999
132,81.2
133,80.4
134,81.6
135,81.6
136,81.6
137,81.2
138,82.39999999999999
139,81.6
140,81.6
141,80.4
142,82.0
143,83.2
144,78.0
145,81.2
146,84.0
147,80.80000000000001
148,81.6
149,83.2
150,79.60000000000001
151,83.6
152,90.4
153,78.4
154,83.6
155,80.0
156,83.2
157,81.6
158,80.80000000000001
159,80.80000000000001
160,81.2
161,81.6
162,81.2
163,80.80000000000001
164,80.80000000000001
165,80.80000000000001
166,82.0
167,82.0
168,81.2
169,80.80000000000001
170,82.39999999999999
171,82.39999999999999
172,79.60000000000001
173,80.80000000000001
174,80.80000000000001
175,81.2
176,82.8
177,82.0
178,81.2
179,83.2
180,81.2
181,82.8
182,83.6
183,82.39999999999999
184,80.0
185,83.2
186,81.6
187,80.4
188,84.0
189,81.2
190,84.39999999999999
191,81.6
192,81.6
193,81.2
194,79.60000000000001
195,79.60000000000001
196,82.0
197,82.0
198,80.0
199,82.39999999999999
200,80.4
201,80.0
202,83.2
203,81.6
204,82.39999999999999
205,80.0
206,82.39999999999999
207,81.2
208,81.2
209,83.6
210,83.6
211,81.2
212,80.80000000000001
213,82.0
214,81.2
215,80.0
216,80.80000000000001
217,82.8
218,81.6
219,83.6
220,84.0
221,79.60000000000001
222,84.0
223,82.0
224,81.2
225,81.2
226,81.6
227,81.6
228,80.80000000000001
229,81.2
230,82.0
231,80.0
232,84.8
233,83.6
234,80.80000000000001
235,82.8
236,80.80000000000001
237,80.0
238,83.2
239,82.39999999999999
240,80.0
241,80.4
242,80.4
243,81.6
244,78.4
245,82.39999999999999
246,82.0
247,82.0
248,80.80000000000001
249,81.2
250,80.80000000000001
251,82.8
252,80.80000000000001
253,82.8
254,81.2
255,82.39999999999999
256,81.6
257,82.39999999999999
258,79.60000000000001
259,82.0
260,82.0
261,80.0
262,82.0
263,81.2
264,83.2
265,81.6
266,83.6
267,80.80000000000001
268,83.6
269,80.4
270,84.0
271,81.2
272,81.2
273,81.6
274,82.0
275,81.6
276,81.2
277,83.6
278,81.2
279,82.0
280,80.80000000000001
281,81.6
282,82.0
283,79.60000000000001
284,80.4
285,82.0
286,80.4
287,82.0
288,82.39999999999999
289,80.0
290,82.8
291,82.0
292,80.80000000000001
293,80.80000000000001
294,73.2
295,89.60000000000001
296,84.39999999999999
297,81.6
298,81.6
299,81.6
300,81.6
301,82.0
302,80.4
303,82.39999999999999
304,81.6
305,80.80000000000001
306,82.39999999999999
307,82.0
308,81.6
309,80.4
310,82.8
311,81.2
312,80.4
313,82.39999999999999
314,81.6
315,80.80000000000001
316,82.39999999999999
317,81.2
318,82.39999999999999
319,81.6
320,82.0
321,74.4
322,86.8
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,2.0
392,52.0
393,59.199999999999996
394,50.4
395,0.4
396,0.0
397,2.0
398,0.4
399,0.4
400,1.6
401,0.4
402,24.0
403,2.8000000000000003
404,0.8
405,88.8
406,91.60000000000001
407,98.4
408,82.8
409,81.6
410,88.8
411,87.6
412,81.2
413,82.0
414,82.0
415,81.6
416,81.6
417,84.0
418,81.2
419,79.60000000000001
420,82.8
421,82.8
422,83.2
423,81.2
424,83.2
425,80.4
426,80.80000000000001
427,81.2
428,83.6
429,81.6
430,82.39999999999999
431,80.0
432,81.2
433,82.39999999999999
434,82.0
435,81.6
436,82.0
437,82.39999999999999
438,81.6
439,80.80000000000001
440,81.2
441,79.2
442,82.39999999999999
443,81.6
444,83.2
445,80.80000000000001
446,80.4
447,81.6
448,80.80000000000001
449,82.0
450,83.2
451,80.80000000000001
452,81.2
453,81.2
454,82.0
455,81.6
456,83.6
457,79.60000000000001
458,82.39999999999999
459,81.2
460,79.60000000000001
461,81.2
462,82.8
463,81.2
464,79.60000000000001
465,84.0
466,81.6
467,79.60000000000001
468,84.8
469,80.0
470,80.0
471,86.0
472,85.2
473,80.0
474,80.80000000000001
475,72.8
476,80.0
477,80.0
478,75.6
479,77.2
480,82.0
481,80.4
482,80.4
483,83.6
484,84.8
485,83.2
486,83.6
487,81.6
488,81.6
489,80.4
490,82.39999999999999
491,82.39999999999999
492,79.60000000000001
493,82.39999999999999
494,82.39999999999999
495,81.6
496,81.6
497,81.6
498,82.0
499,83.6
500,82.0
501,81.2
502,82.8
503,80.4
504,81.6
505,80.80000000000001
506,84.0
507,84.0
508,81.6
509,82.8
510,84.39999999999999
511,82.0
512,82.8
513,81.6
514,81.6
515,83.6
516,80.80000000000001
517,88.0
518,78.4
519,79.60000000000001
520,82.8
521,82.8
522,81.2
523,80.0
524,79.60000000000001
525,85.2
526,80.0
527,82.0
528,80.0
529,82.0
530,82.0
531,89.2
532,92.0
533,80.0
534,82.39999999999999
535,88.4
536,80.0
537,80.80000000000001
538,85.2
539,80.0
540,80.0
541,84.0
542,87.6
543,80.0
544,80.0
545,80.4
546,83.2
547,80.0
548,80.0
549,80.0
550,80.0
551,80.0
552,80.0
553,80.4
554,80.0
555,80.0
556,80.0
557,80.0
558,77.2
559,81.25
