value,start_s,end_s,peak,mean,n_samples,duration_s
2,0.62,0.62,7.0,7.0,1,0.02
4,1.0,1.02,403.0,203.5,2,0.04000000000000002
6,1.06,1.06,303.0,303.0,1,0.02
8,1.1,1.1,462.0,462.0,1,0.02
10,1.1400000000000001,1.1400000000000001,367.0,367.0,1,0.02
12,1.18,1.18,217.0,217.0,1,0.02
14,1.22,1.22,312.0,312.0,1,0.02
16,1.26,1.26,137.0,137.0,1,0.02
18,1.3,1.3,185.0,185.0,1,0.02
20,1.34,1.34,280.0,280.0,1,0.02
22,1.3800000000000001,1.3800000000000001,379.0,379.0,1,0.02
24,1.42,1.42,293.0,293.0,1,0.02
26,1.46,1.46,213.0,213.0,1,0.02
28,1.5,1.5,87.0,87.0,1,0.02
30,1.54,1.54,159.0,159.0,1,0.02
32,1.58,1.58,173.0,173.0,1,0.02
34,1.62,1.62,8.0,8.0,1,0.02
36,1.7,1.72,29.0,19.0,2,0.04000000000000002
38,1.76,1.76,115.0,115.0,1,0.02
40,1.8,1.8,120.0,120.0,1,0.02
42,1.84,1.84,278.0,278.0,1,0.02
44,1.8800000000000001,1.8800000000000001,159.0,159.0,1,0.02
46,1.92,1.92,133.0,133.0,1,0.02
48,1.96,1.96,187.0,187.0,1,0.02
50,2.0,2.0,171.0,171.0,1,0.02
52,2.04,2.04,229.0,229.0,1,0.02
54,2.08,2.08,233.0,233.0,1,0.02
56,2.12,2.12,396.0,396.0,1,0.02
58,2.16,2.16,309.0,309.0,1,0.02
60,2.2,2.2,347.0,347.0,1,0.02
62,2.24,2.24,283.0,283.0,1,0.02
64,2.44,2.44,340.0,340.0,1,0.02
66,2.48,2.48,356.0,356.0,1,0.02
68,2.52,2.52,419.0,419.0,1,0.02
70,2.56,2.56,615.0,615.0,1,0.02
72,2.6,2.6,191.0,191.0,1,0.02
74,2.64,2.64,214.0,214.0,1,0.02
76,2.68,2.68,461.0,461.0,1,0.02
78,2.72,2.72,301.0,301.0,1,0.02
80,2.7600000000000002,2.7600000000000002,275.0,275.0,1,0.02
82,2.8000000000000003,2.8000000000000003,329.0,329.0,1,0.02
84,2.94,2.94,2.0,2.0,1,0.02
86,3.08,3.14,173.0,62.75,4,0.08000000000000006
88,3.18,3.18,111.0,111.0,1,0.02
90,3.22,3.22,53.0,53.0,1,0.02
92,3.2600000000000002,3.2600000000000002,122.0,122.0,1,0.02
94,3.3000000000000003,3.3000000000000003,149.0,149.0,1,0.02
96,3.34,3.34,141.0,141.0,1,0.02
98,3.38,3.38,121.0,121.0,1,0.02
100,3.42,3.42,239.0,239.0,1,0.02
102,3.46,3.46,205.0,205.0,1,0.02
104,4.08,4.08,1.0,1.0,1,0.02
