time_seconds,time_minutes,temperature_C
0,0,33.63
1,0.02,33.63
2,0.03,33.63
3,0.05,33.63
4.1,0.07,33.63
5.1,0.08,33.63
6.1,0.1,33.63
7.1,0.12,33.63
8.1,0.14,33.63
9.1,0.15,33.63
10.1,0.17,33.63
11.1,0.19,33.63
12.2,0.2,33.56
13.2,0.22,33.63
14.2,0.24,33.63
15.2,0.25,33.63
16.2,0.27,33.63
17.2,0.29,33.69
18.2,0.3,33.63
19.2,0.32,33.63
20.3,0.34,33.69
21.3,0.35,33.69
22.3,0.37,33.63
23.3,0.39,33.63
24.3,0.41,33.69
25.3,0.42,33.63
26.3,0.44,33.63
27.4,0.46,33.69
28.4,0.47,33.63
29.4,0.49,33.69
30.4,0.51,33.69
31.4,0.52,33.75
32.4,0.54,33.88
33.4,0.56,34
34.4,0.57,34
35.5,0.59,34.06
36.5,0.61,34.13
37.5,0.62,34.19
38.5,0.64,34.25
39.5,0.66,34.31
40.5,0.68,34.38
41.5,0.69,34.44
42.5,0.71,34.5
43.6,0.73,34.56
44.6,0.74,34.63
45.6,0.76,34.69
46.6,0.78,34.75
47.6,0.79,34.81
48.6,0.81,34.81
49.6,0.83,34.88
50.7,0.84,35
51.7,0.86,35
52.7,0.88,35.06
53.7,0.89,35.13
54.7,0.91,35.13
55.7,0.93,35.25
56.7,0.95,35.25
57.7,0.96,35.25
58.8,0.98,35.25
59.8,1,35.19
60.8,1.01,35.19
61.8,1.03,35.25
62.8,1.05,35.19
63.8,1.06,35.19
64.8,1.08,35.19
65.8,1.1,35.13
66.9,1.11,35.13
67.9,1.13,35.06
68.9,1.15,35.13
69.9,1.16,35.13
70.9,1.18,35.06
71.9,1.2,35.06
72.9,1.22,35
73.9,1.23,35
75,1.25,35
76,1.27,34.94
77,1.28,34.94
78,1.3,34.94
79,1.32,34.94
80,1.33,34.88
81,1.35,34.88
82.1,1.37,34.88
83.1,1.38,34.94
84.1,1.4,34.88
85.1,1.42,34.88
86.1,1.44,34.81
87.1,1.45,34.81
88.1,1.47,34.81
89.1,1.49,34.81
90.2,1.5,34.81
91.2,1.52,34.75
92.2,1.54,34.75
93.2,1.55,34.75
94.2,1.57,34.75
95.2,1.59,34.69
96.2,1.6,34.69
97.2,1.62,34.75
98.3,1.64,34.69
99.3,1.65,34.69
100.3,1.67,34.69
101.3,1.69,34.69
102.3,1.71,34.69
103.3,1.72,34.69
104.3,1.74,34.63
105.4,1.76,34.63
106.4,1.77,34.63
107.4,1.79,34.63
108.4,1.81,34.63
109.4,1.82,34.63
110.4,1.84,34.56
111.4,1.86,34.56
112.4,1.87,34.56
